"","MetaHybridLouvain","SampleIDs","Base","Modifier","Subset","Comment"
"1","basophil_1","","","","",""
"2","basophil_2","","","","",""
"3","basophil_3","","","","",""
"4","basophil_4","","","","",""
"5","basophil_5","","","","",""
"6","basophil_6","","","","",""
"7","basophil_7","","","","",""
"8","basophil_8","","","","",""
"9","basophil_9","","","","",""
"10","basophil_10","","","","",""
"11","basophil_11","","","","",""
"12","basophil_12","","","","",""
"13","basophil_13","","","","",""
"14","basophil_14","","","","",""
"15","basophil_15","","","","",""
"16","basophil_16","","","","",""
"17","basophil_17","","","","",""
"18","basophil_18","","","","",""
"19","basophil_19","","","","",""
"20","basophil_20","","","","",""
"21","basophil_21","","","","",""
"22","basophil_22","","","","",""
"23","basophil_23","","","","",""
"24","b_cell_1","","","","",""
"25","b_cell_2","","","","",""
"26","b_cell_3","","","","",""
"27","b_cell_4","","","","",""
"28","b_cell_5","","","","",""
"29","b_cell_6","","","","",""
"30","b_cell_7","","","","",""
"31","b_cell_8","","","","",""
"32","b_cell_9","","","","",""
"33","b_cell_10","","","","",""
"34","b_cell_11","","","","",""
"35","b_cell_12","","","","",""
"36","b_cell_13","","","","",""
"37","b_cell_14","","","","",""
"38","b_cell_15","","","","",""
"39","b_cell_16","","","","",""
"40","b_cell_17","","","","",""
"41","b_cell_18","","","","",""
"42","b_cell_19","","","","",""
"43","b_cell_20","","","","",""
"44","b_cell_21","","","","",""
"45","granulocyte_1","","","","",""
"46","granulocyte_2","","","","",""
"47","granulocyte_3","","","","",""
"48","granulocyte_4","","","","",""
"49","granulocyte_5","","","","",""
"50","granulocyte_6","","","","",""
"51","granulocyte_7","","","","",""
"52","granulocyte_8","","","","",""
"53","granulocyte_9","","","","",""
"54","granulocyte_10","","","","",""
"55","mdc_1","","","","",""
"56","mdc_2","","","","",""
"57","mdc_3","","","","",""
"58","mdc_4","","","","",""
"59","mdc_5","","","","",""
"60","mdc_6","","","","",""
"61","mdc_7","","","","",""
"62","mdc_8","","","","",""
"63","mdc_9","","","","",""
"64","mdc_10","","","","",""
"65","mdc_11","","","","",""
"66","mdc_12","","","","",""
"67","mdc_13","","","","",""
"68","mdc_14","","","","",""
"69","mdc_15","","","","",""
"70","mdc_16","","","","",""
"71","mdc_17","","","","",""
"72","mdc_18","","","","",""
"73","mdc_19","","","","",""
"74","mdc_20","","","","",""
"75","monocyte_1","","","","",""
"76","monocyte_2","","","","",""
"77","monocyte_3","","","","",""
"78","monocyte_4","","","","",""
"79","monocyte_5","","","","",""
"80","monocyte_6","","","","",""
"81","monocyte_7","","","","",""
"82","monocyte_8","","","","",""
"83","monocyte_9","","","","",""
"84","monocyte_10","","","","",""
"85","monocyte_11","","","","",""
"86","monocyte_12","","","","",""
"87","monocyte_13","","","","",""
"88","monocyte_14","","","","",""
"89","monocyte_15","","","","",""
"90","monocyte_16","","","","",""
"91","monocyte_17","","","","",""
"92","nk_cell_1","","","","",""
"93","nk_cell_2","","","","",""
"94","nk_cell_3","","","","",""
"95","nk_cell_4","","","","",""
"96","nk_cell_5","","","","",""
"97","nk_cell_6","","","","",""
"98","nk_cell_7","","","","",""
"99","nk_cell_8","","","","",""
"100","nk_cell_9","","","","",""
"101","nk_cell_10","","","","",""
"102","nk_cell_11","","","","",""
"103","nk_cell_12","","","","",""
"104","nk_cell_13","","","","",""
"105","nk_cell_14","","","","",""
"106","nk_cell_15","","","","",""
"107","nk_cell_16","","","","",""
"108","nk_cell_17","","","","",""
"109","nk_cell_18","","","","",""
"110","nk_cell_19","","","","",""
"111","nk_cell_20","","","","",""
"112","nk_cell_21","","","","",""
"113","nk_cell_22","","","","",""
"114","pdc_1","","","","",""
"115","pdc_2","","","","",""
"116","pdc_3","","","","",""
"117","pdc_4","","","","",""
"118","pdc_5","","","","",""
"119","pdc_6","","","","",""
"120","pdc_7","","","","",""
"121","pdc_8","","","","",""
"122","t_cell_1","","","","",""
"123","t_cell_2","","","","",""
"124","t_cell_3","","","","",""
"125","t_cell_4","","","","",""
"126","t_cell_5","","","","",""
"127","t_cell_6","","","","",""
"128","t_cell_7","","","","",""
"129","t_cell_8","","","","",""
"130","t_cell_9","","","","",""
"131","t_cell_10","","","","",""
"132","t_cell_11","","","","",""
"133","t_cell_12","","","","",""
"134","t_cell_13","","","","",""
"135","t_cell_14","","","","",""
"136","t_cell_15","","","","",""
"137","t_cell_16","","","","",""
"138","t_cell_17","","","","",""
"139","t_cell_18","","","","",""
"140","t_cell_19","","","","",""
"141","t_cell_20","","","","",""
"142","t_cell_21","","","","",""
"143","t_cell_22","","","","",""
"144","t_cell_23","","","","",""
"145","t_cell_24","","","","",""
"146","t_cell_25","","","","",""
"147","t_cell_26","","","","",""
